A3ZH2Q ,1,0,0,1,0,0,1,0,4
SS9MLS ,1,0,0,1,0,0,0,0,4
AWWAZP ,1,0,1,1,0,0,0,0,3
X5YPPK ,1,0,0,1,1,1,1,0,3
18NWPHC,1,0,0,1,1,1,0,0,3
FYV3B4 ,1,0,0,1,0,1,1,0,3
15QSYGY,1,0,0,1,0,0,1,0,3
FG9QGQ ,1,0,0,1,0,0,0,0,3
N3KVBW ,1,0,1,1,0,0,0,0,2
A6GHL  ,1,0,0,2,0,0,0,0,2
7UHAUM ,1,0,0,2,0,0,0,0,2
7GLOT  ,1,0,0,1,1,1,1,0,2
8XUN6G ,1,0,0,1,1,0,0,0,2
HVH234 ,1,0,0,1,1,0,0,0,2
HFV8EL ,1,0,0,1,1,0,0,0,2
2ZGO75 ,1,0,0,1,0,1,1,0,2
EHUEZO ,1,0,0,1,0,1,1,0,2
I249J1 ,1,0,0,1,0,1,1,0,2
ZFGL3W ,1,0,0,1,0,1,1,0,2
1HZN6C ,1,0,0,1,0,1,0,0,2
1QIWUN ,1,0,0,1,0,1,0,0,2
1WGVZI ,1,0,0,1,0,1,0,0,2
JC23CK ,1,0,0,1,0,1,0,0,2
R8M7Q4 ,1,0,0,1,0,1,0,0,2
DP4QTD ,1,0,0,1,0,0,1,0,2
CE5HUJ ,1,0,0,1,0,0,1,0,2
ZZIGLJ ,1,0,0,1,0,0,1,0,2
EKQ8Q  ,1,0,0,1,0,0,0,0,2
1B8XUY ,1,0,0,1,0,0,0,0,2
7DBH3M ,1,0,0,1,0,0,0,0,2
8VXDGG ,1,0,0,1,0,0,0,0,2
AXP1OZ ,1,0,0,1,0,0,0,0,2
NO2ULZ ,1,0,0,1,0,0,0,0,2
M98T8D ,1,0,0,1,0,0,0,0,2
LLFXLL ,1,0,0,1,0,0,0,0,2
VIC5R4 ,1,0,0,1,0,0,0,0,2
OV695E ,1,0,0,1,0,0,0,0,2
OCK4LC ,1,0,0,1,0,0,0,0,2
164FTMT,1,0,0,1,0,0,0,0,2
1A5X9FC,1,0,0,1,0,0,0,0,2
MMIMJC ,1,1,0,1,0,0,0,0,1
MOCKE6 ,1,0,1,1,1,1,0,0,1
5KIBXD ,1,0,1,1,0,1,1,0,1
5ZVEK4 ,1,0,1,1,0,1,1,0,1
11L4NH7,1,0,1,1,0,1,1,0,1
XOACKK ,1,0,1,1,0,1,0,0,1
9GDLPR ,1,0,1,1,0,0,1,0,1
F1MQOS ,1,0,1,1,0,0,1,0,1
O2LP6Z ,1,0,1,1,0,0,1,0,1
1BL1K1E,1,0,1,1,0,0,1,0,1
7XTYSK ,1,0,1,1,0,0,0,0,1
ZLBD2X ,1,0,0,1,1,1,1,0,1
TH5FWH ,1,0,0,1,1,1,0,0,1
RX67GB ,1,0,0,1,1,1,0,0,1
12JKPJO,1,0,0,1,1,1,0,0,1
